рубрика,исполнитель,песня,имя,ссылка,доп аккорды
русский рок,гражданская оборона,всё идёт по плану,,https://amdm.ru/akkordi/grazhdanskaya_oborona/91535/vse_idet_po_planu/,
русский рок,ддт,летели облака,,https://amdm.ru/akkordi/ddt/5954/leteli_oblaka/,
русский рок,ддт,последняя осень,,https://amdm.ru/akkordi/ddt/10667/v_poslednyy_osen/,
русский рок,ддт,просвистела,,https://amdm.ru/akkordi/ddt/141678/prosvistela/,
русский рок,ддт,что такое осень?,,https://amdm.ru/akkordi/ddt/3054/chto_takoe_osen/,
русский рок,ддт,это всё (что останется после меня),,https://amdm.ru/akkordi/ddt/92536/eto_vsyo/,
зарубежное,джон,can you feel the love tonight,элтон,https://amdm.ru/akkordi/elton_john/51120/can_you_feel_the_love_tonight/,
зарубежное,джон,yellow brick road,элтон,https://amdm.ru/akkordi/elton_john/104328/goodbye_yellow_brick_road/,
зарубежное,джон,your song,элтон,https://amdm.ru/akkordi/elton_john/51182/your_song/,
русская поп-музыка,дискотека авария,небо,,https://amdm.ru/akkordi/diskoteka_avaria/89694/nebo/,
русская поп-музыка,дэд блонд,мальчик на девятке,,https://amdm.ru/akkordi/dead_blonde/182491/malchik_na_devyatke/,
русский рок,ещё никак,волна,,https://amdm.ru/akkordi/eschyo_nikak/188627/volna/,
русский рок,ещё никак ,стоял значит ,,"https://amdm.ru/akkordi/eschyo_nikak/158609/ogni_goroda_stoyal_znachit/#:~:text=Gm%20C%20G%20Cm%20%D0%A1%D1%82%D0%BE%D1%8F%D0%BB,%2C%20%D0%BF%D0%B8%D1%82%D1%8C%20%D1%81%D0%BE%D0%BB%D0%B5%D0%BD%D1%83%D1%8E%20%D0%B2%D0%BE%D0%B4%D1%83%2C%20%D0%BA%D1%83%D1%80%D0%B8%D1%82%D1%8C!",
русская поп-музыка,звери,районы кварталы,,https://amdm.ru/akkordi/zveri/23675/rayoni_kvartali/,
русский рок,звуки му,досуги-буги,,https://amdm.ru/akkordi/zvyki_my/93011/dosugi_bugi/,
советские песни,земляне,трава у дома,,https://amdm.ru/akkordi/zemlane/745/trava_u_doma/,
русская поп-музыка,земфира,искала,,https://amdm.ru/akkordi/zemfira/4833/iskala/,
русская поп-музыка,земфира,лондон (зверь одиночка),,https://amdm.ru/akkordi/zemfira/122998/london/,
русская поп-музыка,земфира,не отпускай,,https://amdm.ru/akkordi/zemfira/3139/ne_otpuskay/,
русская поп-музыка,земфира,прогулка (случайно падали звёзды),,https://amdm.ru/akkordi/zemfira/1337/romaski/,
русская поп-музыка,земфира,ромашки,,https://amdm.ru/akkordi/zemfira/1337/romaski/,
русская поп-музыка,земфира,хочешь?,,https://amdm.ru/akkordi/zemfira/89380/hochesh/,
советские песни,"и рок-оперы ""юнона и авось""",я тебя никогда не забуду,,https://amdm.ru/akkordi/unona_i_avos/136908/ya_tebya_nikogda_ne_zabudu/,
русская поп-музыка,Иванушки international,Тополиный пух,,https://amdm.ru/akkordi/ivanyshki_international/158249/topoliniy_puh/,
русская поп-музыка,иванушки international,тучи,,https://amdm.ru/akkordi/ivanyshki_international/1425/tuchi/,
